,article,cateogry ID,FP/FN/TP/TN
149,21413,No Mapping,TN
96,21448,No Mapping,TN
2114,21448,Safe space,TP
124,21454,No Mapping,TN
65,21455,No Mapping,TN
151,21474,No Mapping,TN
82,21485,No Mapping,TN
241,21489,No Mapping,TN
6,21499,Trump meeting,TP
369,21499,No Mapping,TN
38,21500,No Mapping,TN
244,21502,No Mapping,TN
307,21502,Brazil impeachment,TP
245,21504,No Mapping,TN
246,21506,No Mapping,TN
195,21508,No Mapping,TN
248,21509,No Mapping,TN
249,21510,No Mapping,TN
250,21511,No Mapping,TN
115,21512,No Mapping,TN
75,22918,No Mapping,TN
253,23811,No Mapping,TN
9,23872,Trump meeting,TP
446,23872,No Mapping,TN
255,23877,No Mapping,TN
110,23878,No Mapping,TN
257,23884,No Mapping,TN
10,23888,Trump meeting,TP
364,23888,No Mapping,TN
236,25225,No Mapping,TN
304,25225,Brazil impeachment,TP
40,25226,No Mapping,TN
150,25227,No Mapping,TN
4,26536,Trump meeting,TP
371,26536,No Mapping,TN
221,35347,No Mapping,TN
47,35723,No Mapping,TN
101,35776,No Mapping,TN
91,35996,No Mapping,TN
46,36650,No Mapping,TN
58,36823,No Mapping,TN
27,36979,No Mapping,TN
73,37252,No Mapping,TN
1208,37252,Farage,TP
152,37468,No Mapping,TN
1209,37468,Farage,TP
153,38658,No Mapping,TN
1812,38658,SpaceX,TP
42,38952,No Mapping,TN
134,39167,No Mapping,TN
188,39232,No Mapping,TN
3627,39232,David Brown,FP
179,39516,No Mapping,TN
213,39520,No Mapping,TN
606,39520,Kaepernick,TP
168,39730,No Mapping,TN
212,40543,No Mapping,TN
605,40543,Kaepernick,TP
271,40608,No Mapping,TN
210,40617,No Mapping,TN
604,40617,Kaepernick,TP
61,40754,No Mapping,TN
259,40854,No Mapping,TN
37,42951,No Mapping,TN
207,42970,No Mapping,TN
103,43318,No Mapping,TN
63,43447,No Mapping,TN
2416,43447,Lauer debate,TP
56,43672,No Mapping,TN
76,43849,No Mapping,TN
138,44040,No Mapping,TN
162,44642,No Mapping,TN
2117,44642,Safe space,FP
18,44928,No Mapping,TN
43,44993,No Mapping,TN
69,46175,No Mapping,TN
1210,46175,Farage,TP
293,46560,No Mapping,TN
71,46896,No Mapping,TN
295,47017,No Mapping,TN
54,47078,No Mapping,TN
2418,47078,Lauer debate,TP
36,47403,No Mapping,TN
607,47403,Kaepernick,TP
131,47979,No Mapping,TN
908,47979,Clinton Guccifer,TP
1,48306,Trump meeting,TP
415,48306,No Mapping,TN
50,48388,No Mapping,TN
299,48785,No Mapping,TN
300,48813,No Mapping,TN
283,48823,No Mapping,TN
3021,48823,Iran deal,TP
52,48914,No Mapping,TN
281,49198,No Mapping,TN
68,49416,No Mapping,TN
30,49458,No Mapping,TN
139,49480,No Mapping,TN
1510,49480,Anthony Weiner,TP
264,49614,No Mapping,TN
142,50026,No Mapping,TN
266,57360,No Mapping,TN
146,57362,No Mapping,TN
305,57362,Brazil impeachment,TP
166,57364,No Mapping,TN
5,57365,Trump meeting,TP
480,57365,No Mapping,TN
16,57366,No Mapping,FN
365,57366,No Mapping,TN
133,57368,No Mapping,TN
35,57369,No Mapping,TN
93,57372,No Mapping,TN
147,57373,No Mapping,TN
3022,57373,Iran deal,TP
160,57375,No Mapping,TN
2720,57375,Venezuela,TP
274,57376,No Mapping,TN
80,57377,No Mapping,TN
276,57378,No Mapping,TN
105,57379,No Mapping,TN
106,57380,No Mapping,TN
99,57382,No Mapping,TN
279,57385,No Mapping,TN
145,57410,No Mapping,TN
178,57418,No Mapping,TN
172,57441,No Mapping,TN
13,71335,Trump meeting,TP
386,71335,No Mapping,TN
14,71336,Trump meeting,TP
460,71336,No Mapping,TN
173,71337,No Mapping,TN
128,71338,No Mapping,TN
19,71339,No Mapping,FN
438,71339,No Mapping,TN
88,71340,No Mapping,TN
21,71341,No Mapping,TN
269,71342,No Mapping,TN
202,71343,No Mapping,TN
31,71344,No Mapping,TN
282,71345,No Mapping,TN
143,71346,No Mapping,TN
190,71348,No Mapping,TN
296,71349,No Mapping,TN
211,71350,No Mapping,TN
3628,71350,David Brown,FP
291,78169,No Mapping,TN
2115,78169,Safe space,TP
17,78170,No Mapping,TN
130,78171,No Mapping,TN
2116,78171,Safe space,TP
154,80092,No Mapping,TN
175,80093,No Mapping,TN
289,80094,No Mapping,TN
3322,80094,Penn State,TP
182,80096,No Mapping,TN
3625,80096,David Brown,TP
49,80097,No Mapping,TN
15,80098,No Mapping,TN
258,80099,No Mapping,TN
232,80100,No Mapping,TN
87,80101,No Mapping,TN
609,80101,Kaepernick,TP
229,80102,No Mapping,TN
92,80103,No Mapping,TN
303,80103,Brazil impeachment,TP
157,80104,No Mapping,TN
86,80105,No Mapping,TN
70,80106,No Mapping,TN
126,80107,No Mapping,TN
34,80108,No Mapping,TN
118,80109,No Mapping,TN
608,80109,Kaepernick,TP
108,80110,No Mapping,TN
39,80111,No Mapping,TN
32,80112,No Mapping,TN
193,80113,No Mapping,TN
247,85793,No Mapping,TN
57,85797,No Mapping,TN
22,85798,No Mapping,TN
26,85799,No Mapping,TN
77,85801,No Mapping,TN
132,85802,No Mapping,TN
112,85803,No Mapping,TN
907,85803,Clinton Guccifer,TP
204,85804,No Mapping,TN
237,85805,No Mapping,TN
234,85806,No Mapping,TN
176,85807,No Mapping,TN
222,85810,No Mapping,TN
191,85825,No Mapping,TN
79,85880,No Mapping,TN
3,110126,Trump meeting,TP
453,110126,No Mapping,TN
121,110127,No Mapping,TN
228,110129,No Mapping,TN
184,110131,No Mapping,TN
8,110133,Trump meeting,TP
463,110133,No Mapping,TN
78,110135,No Mapping,TN
98,110137,No Mapping,TN
288,110139,No Mapping,TN
203,110141,No Mapping,TN
306,110141,Brazil impeachment,TP
290,110143,No Mapping,TN
165,110144,No Mapping,TN
1511,110144,Anthony Weiner,TP
209,110145,No Mapping,TN
272,110146,No Mapping,TN
41,110147,No Mapping,TN
215,110149,No Mapping,TN
170,110150,No Mapping,TN
208,110151,No Mapping,TN
95,110152,No Mapping,TN
135,110154,No Mapping,TN
66,110155,No Mapping,TN
48,110156,No Mapping,TN
174,110157,No Mapping,TN
275,110159,No Mapping,TN
159,110160,No Mapping,TN
163,110161,No Mapping,TN
217,110162,No Mapping,TN
267,110164,No Mapping,TN
84,110165,No Mapping,TN
265,110166,No Mapping,TN
263,110167,No Mapping,TN
262,110169,No Mapping,TN
199,110171,No Mapping,TN
109,110172,No Mapping,TN
164,110175,No Mapping,TN
196,110176,No Mapping,TN
28,120628,No Mapping,TN
24,120629,No Mapping,TN
286,120630,No Mapping,TN
51,120631,No Mapping,TN
120,120632,No Mapping,TN
45,120633,No Mapping,TN
231,120634,No Mapping,TN
3023,120634,Iran deal,TP
201,120635,No Mapping,TN
198,120636,No Mapping,TN
308,120636,Brazil impeachment,TP
144,120637,No Mapping,TN
185,120638,No Mapping,TN
200,120639,No Mapping,TN
302,120639,Brazil impeachment,TP
225,134545,No Mapping,TN
1814,134545,SpaceX,TP
94,134825,No Mapping,TN
223,134889,No Mapping,TN
219,134921,No Mapping,TN
116,135213,No Mapping,TN
104,135766,No Mapping,TN
186,135878,No Mapping,TN
233,136158,No Mapping,TN
194,136866,No Mapping,TN
89,137143,No Mapping,TN
256,137586,No Mapping,TN
136,138243,No Mapping,TN
251,138339,No Mapping,TN
156,138517,No Mapping,TN
74,138709,No Mapping,TN
2417,138709,Lauer debate,TP
242,139100,No Mapping,TN
83,139571,No Mapping,TN
55,139673,No Mapping,TN
90,139776,No Mapping,TN
239,140086,No Mapping,TN
192,140362,No Mapping,TN
214,140496,No Mapping,TN
297,141701,No Mapping,TN
158,141886,No Mapping,TN
3626,141886,David Brown,TP
11,142033,Trump meeting,TP
523,142033,No Mapping,TN
240,142208,No Mapping,TN
119,142300,No Mapping,TN
1512,142300,Anthony Weiner,TP
111,151262,No Mapping,TN
67,151598,No Mapping,TN
0,151832,Trump meeting,TP
459,151832,No Mapping,TN
107,151991,No Mapping,TN
155,152264,No Mapping,TN
287,152512,No Mapping,TN
278,152654,No Mapping,TN
216,152706,No Mapping,TN
273,156194,No Mapping,TN
230,156656,No Mapping,TN
224,156818,No Mapping,TN
226,157295,No Mapping,TN
161,157527,No Mapping,TN
3323,157527,Penn State,TP
197,158005,No Mapping,TN
3020,158005,Iran deal,TP
62,172077,No Mapping,TN
2,172078,Trump meeting,TP
457,172078,No Mapping,TN
137,172079,No Mapping,TN
2718,172079,Venezuela,TP
238,172080,No Mapping,TN
102,172081,No Mapping,TN
113,172082,No Mapping,TN
60,172083,No Mapping,TN
218,172084,No Mapping,TN
227,172085,No Mapping,TN
3624,172085,David Brown,TP
72,172086,No Mapping,TN
260,172087,No Mapping,TN
125,172088,No Mapping,TN
127,172089,No Mapping,TN
268,172090,No Mapping,TN
123,172091,No Mapping,TN
140,172092,No Mapping,TN
277,172093,No Mapping,TN
220,172094,No Mapping,TN
270,172095,No Mapping,TN
1815,172095,SpaceX,TP
261,172096,No Mapping,TN
167,172097,No Mapping,TN
122,172098,No Mapping,TN
280,172099,No Mapping,TN
301,172100,No Mapping,TN
298,172102,No Mapping,TN
171,172125,No Mapping,TN
180,190494,No Mapping,TN
64,190495,No Mapping,TN
